region,regioncode,district,districtcode,ward,wardcode,street,places
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,KIROSHI,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,OFISINI,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,KAMBI YA CHUPA,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,MFEREJINI,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,SIARA,
ARUSHA,23,ARUSHA CBD,231,BARAA,23112,ELKIROUWA,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,ILKIROUWA,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,OLEPHOLOS,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,KORONGONI,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,KIKWAKWARU ‘A’,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,KIKWAKWARU‘B’,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,LEMARA KATI,
ARUSHA,23,ARUSHA CBD,231,LEMARA,23113,SUNFLAG,
ARUSHA,23,ARUSHA CBD,231,ENGUTOTO,23114,BLOCK C1,
ARUSHA,23,ARUSHA CBD,231,ENGUTOTO,23114,BLOCK C2,
ARUSHA,23,ARUSHA CBD,231,ENGUTOTO,23114,BLOCK D,
ARUSHA,23,ARUSHA CBD,231,ENGUTOTO,23114,BLOCK F,
ARUSHA,23,ARUSHA CBD,231,ENGUTOTO,23114,BLOCK H,
ARUSHA,23,ARUSHA CBD,231,ENGUTOTO,23114,BLOCK J,
ARUSHA,23,ARUSHA CBD,231,SOKON 1,23115,LOLOVONO,
ARUSHA,23,ARUSHA CBD,231,SOKON 2,23115,LONGDONG,
ARUSHA,23,ARUSHA CBD,231,SOKON 3,23115,MURRIET,
ARUSHA,23,ARUSHA CBD,231,SOKON 4,23115,KANISANI,
ARUSHA,23,ARUSHA CBD,231,SOKON 5,23115,SAINEVUNO,
ARUSHA,23,ARUSHA CBD,231,SOKON 6,23115,MADUKANI,
ARUSHA,23,ARUSHA CBD,231,SOMBETINI,23116,SIMANJIRO,
ARUSHA,23,ARUSHA CBD,231,SOMBETINI,23116,BANDA MBILI,
ARUSHA,23,ARUSHA CBD,231,SOMBETINI,23116,KIRIKA ‘A’,
ARUSHA,23,ARUSHA CBD,231,SOMBETINI,23116,OLAMURRAKI,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,LAITAYOK,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,IMITONG'WA,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,MASKIRIA,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,BONDENI KATI,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,OLEPOLOSI,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,ERANGAU,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,OLKUNGU,
ARUSHA,23,ARUSHA CBD,231,TERRAT,23117,ENGAVUNET,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,NANJA,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,MOSHONO KATI,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,ENGOSOWASH,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,T.PACKERS,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,OLKEREYAN KATI,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,LAIZER,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,LOSIRWAYLAIZER,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,MTONI,
ARUSHA,23,ARUSHA CBD,231,MOSHONO,23118,KALIMAJI,
ARUSHA,23,ARUSHA CBD,231,OLASITI,23119,KIMINDOROSI,
ARUSHA,23,ARUSHA CBD,231,OLASITI,23119,OLASITI CENTRE,
ARUSHA,23,ARUSHA CBD,231,OLASITI,23119,OLORESHO,
ARUSHA,23,ARUSHA CBD,231,OLASITI,23119,OLKEREYAN,
ARUSHA,23,ARUSHA CBD,231,OLASITI,23119,BURKA,
ARUSHA,23,ARUSHA CBD,231,OLASITI,23119,OLTEVES,
ARUSHA,23,ARUSHA CBD,231,MOIVARO,23120,EDANYOEMASI,
ARUSHA,23,ARUSHA CBD,231,MOIVARO,23120,MOIVARO KATI,
ARUSHA,23,ARUSHA CBD,231,MOIVARO,23120,SHANGARAO,
ARUSHA,23,ARUSHA CBD,231,MOIVARO,23120,NGURUMAUS,
ARUSHA,23,ARUSHA CBD,231,MOIVARO,23120,SEKEI,
ARUSHA,23,ARUSHA CBD,231,MOIVARO,23120,MOSHONO KASKAZINI,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,MAKAO MAPYA,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,OLEVOLOS,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,OLOMOKEYA,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,OLJANVUTIAN,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,MLIMANI,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,MIGUNGANI,
ARUSHA,23,ARUSHA CBD,231,SINONI,23121,ENGOSENGIU,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,BONDENI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,KATI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,MASHARIKI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,MURIETI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,MLIMANI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,MSASANI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,FFU,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,ELUANYI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,NADOSOITO KUSINI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,NGORIENITO,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,OLDONYOKUMUR,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,EMBARARWAI,
ARUSHA,23,ARUSHA CBD,231,MURIET,23122,KATI,
ARUSHA,23,ARUSHA CBD,231,OSUNYAI JR,23123,OSUNYAI,
ARUSHA,23,ARUSHA CBD,231,OSUNYAI JR,23123,NGUSERO,
ARUSHA,23,ARUSHA CBD,231,OSUNYAI JR,23123,KIRIKA 'B',
ARUSHA,23,ARUSHA CBD,231,OSUNYAI JR,23123,JR,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,OLMATEJOO “A”,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,NAVARANA,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,GIRIKI,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,OLMATEJO “B”,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,MAIRIVA,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,SAKINA,
ARUSHA,23,ARUSHA CBD,231,SAKINA,23124,MELAMARI,
ARUSHA,23,ARUSHA CBD,231,OLMOTI,23125,OLMOTI,
ARUSHA,23,ARUSHA CBD,231,OLMOTI,23125,NGARAMTONI YA CHINI,
ARUSHA,23,ARUSHA CBD,231,OLMOTI,23125,MLIMANI,
ARUSHA,23,ARUSHA CBD,231,OLMOTI,23125,MIRONGOINE,
ARUSHA,23,ARUSHA CBD,231,OLMOTI,23125,NAFCO,
ARUSHA,23,ARUSHA,232,OLTURUMET,23201,NAFCO,EKENYWA
ARUSHA,23,ARUSHA,232,OLTURUMET,23201,NAFCO,SEURI
ARUSHA,23,ARUSHA,232,OLTURUMET,23201,NAFCO,ILKUISHINI
ARUSHA,23,ARUSHA,232,MWANDET,23202,IMBIBIA,SUGUMEN
ARUSHA,23,ARUSHA,232,MWANDET,23202,IMBIBIA,MUKULAT
ARUSHA,23,ARUSHA,232,MWANDET,23202,IMBIBIA,IMBIBIAKATI
ARUSHA,23,ARUSHA,232,MWANDET,23202,LOSIKITO,LEMBOLEI
ARUSHA,23,ARUSHA,232,MWANDET,23202,LOSIKITO,LEMBASHISHI
ARUSHA,23,ARUSHA,232,MWANDET,23202,LOSIKITO,OLOMISHIRA
ARUSHA,23,ARUSHA,232,MWANDET,23202,LOSIKITO,LOSIRWA
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGALAONI,BOMBANI
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGALAONI,LEWAWA
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGALAONI,ORMUKUNA
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGURTOTO,MBUKARA
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGURTOTO,OLORIKOTI
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGURTOTO,SHULENI
ARUSHA,23,ARUSHA,232,MWANDET,23202,ENGURTOTO,ENGANALET
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,OLKEJULENDERIT,KANDA SIKIRIET
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,OLKEJULENDERIT,OLBAMBA
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,OLKEJULENDERIT,OLKEJULENDERIT
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,ILKUROT,NGALUMA
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,ILKUROT,SARUNGA
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,LENGIJAVE,OLOLUA
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,LENGIJAVE,OLBAK
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,LENGIJAVE,ILTULELE
ARUSHA,23,ARUSHA,232,OLKOKOLA,23203,LENGIJAVE,KIBORI
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,OLDONYOSAMBU,MADUKANI
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,OLDONYOSAMBU,OLDONYO- SAMBU
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,OLDONYOSAMBU,MARURANI
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,LEMONG'O,LEMONG'O JUU
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,LEMONG'O,NGIVILAT
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,LEMONG'O,LEMUNGE
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,LEMANDA,LEMANDA
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,LEMANDA,ZAHANATI
ARUSHA,23,ARUSHA,232,OLDONYOSAMBU,23204,LEMANDA,ENJOCK
ARUSHA,23,ARUSHA,232,MUSA,23205,OLOITUSHULA,LOOLASHO
ARUSHA,23,ARUSHA,232,MUSA,23205,OLOITUSHULA,LOOLOVON
ARUSHA,23,ARUSHA,232,MUSA,23205,OLOITUSHULA,MASHARIKI
ARUSHA,23,ARUSHA,232,MUSA,23205,NENGUNG'U,OLKILORITI
ARUSHA,23,ARUSHA,232,MUSA,23205,NENGUNG'U,NGORIENITO
ARUSHA,23,ARUSHA,232,MUSA,23205,OLCHOROVUS,ENJORO ONDARE
ARUSHA,23,ARUSHA,232,MUSA,23205,OLCHOROVUS,EMANYATA
ARUSHA,23,ARUSHA,232,MUSA,23205,OLCHOROVUS,ENGUSERO
ARUSHA,23,ARUSHA,232,MUSA,23205,LIKAMBA,OLOMISHIRA
ARUSHA,23,ARUSHA,232,MUSA,23205,LIKAMBA,OLOVONI
ARUSHA,23,ARUSHA,232,MUSA,23205,LIKAMBA,LIKAMBA
ARUSHA,23,ARUSHA,232,MUSA,23205,LIKAMBA,EUNOTO
ARUSHA,23,ARUSHA,232,MUSA,23205,LIKAMBA,ENGUVURURANA
ARUSHA,23,ARUSHA,232,KISONGO,23206,ENGORORA,ENGORORA KATI
ARUSHA,23,ARUSHA,232,KISONGO,23206,ENGORORA,LOSINONI
ARUSHA,23,ARUSHA,232,KISONGO,23206,ENGORORA,EMATASYA
ARUSHA,23,ARUSHA,232,KISONGO,23206,ILKERIN,ILKERIN JUU
ARUSHA,23,ARUSHA,232,KISONGO,23206,ILKERIN,PARSELIAN
ARUSHA,23,ARUSHA,232,KISONGO,23206,ILKERIN,NAROMURU
ARUSHA,23,ARUSHA,232,KISONGO,23206,LESIRAA,LOSINGIRA
ARUSHA,23,ARUSHA,232,KISONGO,23206,LESIRAA,BWAWANI
ARUSHA,23,ARUSHA,232,KISONGO,23206,LESIRAA,LESIRAA
ARUSHA,23,ARUSHA,232,KISONGO,23206,LESIRAA,MTEELELU
ARUSHA,23,ARUSHA,232,KISONGO,23206,LOVILUKUNY,LOVILUKUNY
ARUSHA,23,ARUSHA,232,KISONGO,23206,LOVILUKUNY,LOONGULULU
ARUSHA,23,ARUSHA,232,BANGATA,23207,BANGATA,OLEVOLOS
ARUSHA,23,ARUSHA,232,BANGATA,23207,BANGATA,MEERENY
ARUSHA,23,ARUSHA,232,BANGATA,23207,BANGATA,ENGIKARET
ARUSHA,23,ARUSHA,232,BANGATA,23207,MIDAWE,NRUKENY
ARUSHA,23,ARUSHA,232,BANGATA,23207,MIDAWE,MANGOLA
ARUSHA,23,ARUSHA,232,BANGATA,23207,SASI,SANGANANU
ARUSHA,23,ARUSHA,232,BANGATA,23207,SASI,NKOASEI
ARUSHA,23,ARUSHA,232,BANGATA,23207,SASI,NKOANICHE
ARUSHA,23,ARUSHA,232,SOKON II,23208,SOKON II,SIMANJIRO
ARUSHA,23,ARUSHA,232,SOKON II,23208,SOKON II,NAMBERE
ARUSHA,23,ARUSHA,232,SOKON II,23208,SOKON II,NGOILENYA
ARUSHA,23,ARUSHA,232,SOKON II,23208,SOKON II,ILKILORIT
ARUSHA,23,ARUSHA,232,SOKON II,23208,SOKON II,LONGIDARE
ARUSHA,23,ARUSHA,232,SOKON II,23208,OLDADAI,KIJAVE
ARUSHA,23,ARUSHA,232,SOKON II,23208,OLDADAI,KIVESI
ARUSHA,23,ARUSHA,232,SOKON II,23208,OLDADAI,ACHI
ARUSHA,23,ARUSHA,232,SOKON II,23208,OLDADAI,MISHORORI
ARUSHA,23,ARUSHA,232,SOKON II,23208,NGIRES,KIUTU
ARUSHA,23,ARUSHA,232,SOKON II,23208,NGIRES,SOYEN
ARUSHA,23,ARUSHA,232,SOKON II,23208,NGIRES,OLTUROTO
ARUSHA,23,ARUSHA,232,SOKON II,23208,NGIRES,OLEVOLOS
ARUSHA,23,ARUSHA,232,SOKON II,23208,NGIRES,NGOIKAA
ARUSHA,23,ARUSHA,232,SOKON II,23208,NGIRES,KIMELOK
ARUSHA,23,ARUSHA,232,KIRANYI,23209,NGIRES,KIRANYI
ARUSHA,23,ARUSHA,232,KIRANYI,23209,NGIRES,SIWANDETI
ARUSHA,23,ARUSHA,232,KIRANYI,23209,NGIRES,ILKIUREI
ARUSHA,23,ARUSHA,232,KIRANYI,23209,NGIRES,NAMAYANA
ARUSHA,23,ARUSHA,232,OLORIEN,23210,NGIRES,OLORIEN
ARUSHA,23,ARUSHA,232,OLORIEN,23210,NGIRES,OLOSIVA
ARUSHA,23,ARUSHA,232,OLORIEN,23210,NGIRES,MRINGA
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKIDING'A,MULA
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKIDING'A,LOBULU
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKIDING'A,NDIKALA
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKIDING'A,LAIZER
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,OLOIGERUNO,OLOIGERUNO
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,OLOIGERUNO,NARESHO
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,OLOIGERUNO,OLTULELE
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,OLOIGERUNO,OLDONYO
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKISONGO,ILMELILI
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKISONGO,ILKISONGO CHINI
ARUSHA,23,ARUSHA,232,ILKIDING'A,23211,ILKISONGO,ILKISONGO JUU
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SAMBASHA,HUDUMA
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SAMBASHA,ILPARAKWO
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SAMBASHA,MPAKANI
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SHIMBORO,LTINGIDI
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SHIMBORO,MADUKANI
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SHIMBORO,MUTERIAN
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,SHIMBORO,MEDUTI
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,TIMBOLO,OMELILI
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,TIMBOLO,MASANGA
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,TIMBOLO,MIUNGA
ARUSHA,23,ARUSHA,232,SAMBASHA,23212,TIMBOLO,NAROKI
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLMRINGARINGA,SAIBOKU
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLMRINGARINGA,SHULE
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLMRINGARINGA,JOSHO
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLMRINGARINGA,MELEMBUKI
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLOVOLOS,MAENDELEO
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLOVOLOS,WATAALAM
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLOVOLOS,VITENDO
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,OLOVOLOS,JUHUDI
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,KIMNYAKI,MITARONI
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,KIMNYAKI,LEKAKO
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,KIMNYAKI,LOINEPUNYE
ARUSHA,23,ARUSHA,232,KIMNYAKI,23213,KIMNYAKI,WAVII
ARUSHA,23,ARUSHA,232,OLMOTONYI,23214,KIMNYAKI,NGARAMTONI
ARUSHA,23,ARUSHA,232,OLMOTONYI,23214,KIMNYAKI,OLMOTONYI
ARUSHA,23,ARUSHA,232,OLMOTONYI,23214,KIMNYAKI,EMAOI
ARUSHA,23,ARUSHA,232,OLJORO,23215,MIRONGOINE,BONDENI
ARUSHA,23,ARUSHA,232,OLJORO,23215,MIRONGOINE,KIGONGONI
ARUSHA,23,ARUSHA,232,OLJORO,23215,MIRONGOINE,KUMBAKUMBA
ARUSHA,23,ARUSHA,232,OLJORO,23215,OLJORO,UJAMAA
ARUSHA,23,ARUSHA,232,OLJORO,23215,OLJORO,OLMOTONY
ARUSHA,23,ARUSHA,232,OLJORO,23215,OLJORO,KIKEDOKINI
ARUSHA,23,ARUSHA,232,OLJORO,23215,MBUYUNI,ENDEVES
ARUSHA,23,ARUSHA,232,OLJORO,23215,MBUYUNI,ILMITONG'WA
ARUSHA,23,ARUSHA,232,OLJORO,23215,MBUYUNI,MBUYUNI
ARUSHA,23,ARUSHA,232,OLJORO,23215,MBUYUNI,ENJIKAKA
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,KIVULUL,OLOIGERO
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,KIVULUL,OLMARET
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,KIVULUL,OLMATEJO
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OLDONYOSAPUK,ILMADU
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OLDONYOSAPUK,OLDONYO
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OLDONYOSAPUK,MAGWA
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OLDONYOSAPUK,KARANTINI
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OLDONYOSAPUK,SHULENI
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,ILKIREVI,OLTUROTO
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,ILKIREVI,OLOIROWA
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,ILKIREVI,LESHABARI
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OSUNYAI,EKENYWA
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OSUNYAI,OLDONYONO
ARUSHA,23,ARUSHA,232,OLTUROTO,23216,OSUNYAI,OSUNYAI
ARUSHA,23,ARUSHA,232,MOIVO,23217,OSUNYAI,MOIVO
ARUSHA,23,ARUSHA,232,MOIVO,23217,OSUNYAI,OLTULELEI
ARUSHA,23,ARUSHA,232,MOIVO,23217,OSUNYAI,OLORESHO
ARUSHA,23,ARUSHA,232,MOIVO,23217,OSUNYAI,SAMA
ARUSHA,23,ARUSHA,232,MOIVO,23217,OSUNYAI,ILKOLOLORIT
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MLANGARINI,MAJENGO
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MLANGARINI,MLANGARINI KATI
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MLANGARINI,BONDENI
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,LOSILWAY
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,LOONGIVA
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,KESERIAN
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,MBUNI
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,LESOIT
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,MUUNGANO
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,MLIMANI
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,OLMARAROI
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,KISERIAN,OLODERIT
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MANYIRE,UPENDO
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MANYIRE,MAJENGO
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MANYIRE,MAKAO MAPYA
ARUSHA,23,ARUSHA,232,MLANGARINI,23218,MANYIRE,OLMESERA
ARUSHA,23,ARUSHA,232,NDURUMA,23219,NDURUMA,OLODENDERIT
ARUSHA,23,ARUSHA,232,NDURUMA,23219,NDURUMA,MAROROI
ARUSHA,23,ARUSHA,232,NDURUMA,23219,NDURUMA,NDURUMA KATI
ARUSHA,23,ARUSHA,232,NDURUMA,23219,NDURUMA,NDURUMA MADUKANI
ARUSHA,23,ARUSHA,232,NDURUMA,23219,SAMARIA,UNGUUNI
